"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"07747",1,1,1,1,1,1
"07748",0.5,0,0,1,2,2
"07751",0.5714285714285714,0,0,1,6,7
"07764",1,1,1,1,1,1
"07821",0,0,0,0,1,1
"07823",0,0,0,0,1,1
"07825",0,0,0,0,3,3
"07834",1,1,1,1,1,1
"07836",6,6,6,6,0,1
"07840",2,2,2,2,0,1
"07853",3,3,3,3,0,1
"07866",0.75,1,0,1,4,4
"07869",0,0,0,0,2,2
"07871",4,2,2,6,0,2
"07885",5,5,5,5,0,2
"07901",0.2857142857142857,0,0,1,7,7
"07920",0,0,0,0,4,4
"07922",2,2,2,2,0,1
"07924",6,6,6,6,0,1
"07928",0.3333333333333333,0,0,1,3,3
"07930",0,0,0,0,1,1
"07931",1,1,1,1,3,3
"07936",2,2,2,2,0,1
"07940",1,1,1,1,1,1
"07945",3,3,3,3,0,1
"07946",0.75,1,0,1,4,4
"07960",0.6666666666666666,0,0,1,5,6
"08002",4,3,3,5,0,2
"08003",0,0,0,0,1,1
"08005",0,0,0,0,1,1
"08009",0,0,0,0,1,1
"08015",0,0,0,0,3,3
"08016",2,2,2,2,0,1
"08028",1,1,1,1,1,1
"08033",0,0,0,0,3,3
"08034",0,0,0,0,1,1
"08037",1.75,2,1,2,1,4
"08054",1.6666666666666667,0,0,5,2,3
"08055",1.5,1,1,2,1,2
"08057",0.25,0,0,0,4,4
"08065",0,0,0,0,1,1
"08066",2,2,2,2,0,1
"08069",2,2,2,2,0,1
"08070",2,2,2,2,0,1
"08071",2,2,2,2,0,4
"08080",1.5,1,1,2,2,4
"08081",2,2,2,2,0,3
"08083",2,2,2,2,0,1
"08085",2,2,2,2,0,4
"08088",0.75,1,0,1,4,4
"08094",2,2,2,2,0,6
"08108",2,2,2,2,0,1
"08203",6,6,6,6,0,1
"08205",2,2,2,2,0,1
"08219",4,4,4,4,0,1
"08221",6,6,6,6,0,1
"08234",2,2,2,2,0,1
"08239",7,7,7,7,0,2
"08245",2,2,2,2,0,1
"08247",0,0,0,0,7,7
"08302",2,2,2,2,0,56
"08310",2,2,2,2,0,4
"08311",2,2,2,2,0,6
"08312",2,2,2,2,0,1
"08322",2,2,2,2,0,1
"08330",2,2,2,2,0,1
"08332",2.0357142857142856,2,2,2,0,28
"08360",2,2,2,2,0,11
"08361",2.1666666666666665,2,2,2,0,6
"08401",5,5,5,5,0,1
"08440",3,3,3,3,0,1
"08454",0,0,0,0,1,1
"08520",2,2,2,2,0,1
"08525",1,1,1,1,1,1
"08526",1,1,1,1,1,1
"08527",5,5,5,5,0,1
"08534",0.5,0,0,1,2,2
"08540",0,0,0,0,2,2
"08551",2.5,2,2,3,0,2
"08588",1,1,1,1,1,1
"08611",3,3,3,3,0,1
"08618",2,2,2,2,0,1
"08620",1,1,1,1,1,1
"08648",5,5,5,5,0,1
"08690",1.6,2,2,2,1,5
"08701",0.36363636363636365,0,0,1,11,11
"08721",0,0,0,0,1,1
"08731",0.5,0,0,1,2,2
"08742",5,5,5,5,0,2
"08753",1,1,1,1,1,1
"08757",2.5,1,1,4,1,2
"08801",0.6666666666666666,1,0,1,3,3
"08807",5,5,5,5,0,1
"08824",7,7,7,7,0,1
"08825",0,0,0,0,1,1
"08826",3.5,2,2,5,0,2
"08833",3,3,3,3,0,1
"08844",6,6,6,6,0,3
"08867",1.5,2,0,2,1,4
"08873",0.75,1,0,1,4,4
"08876",0,0,0,0,1,1
"09006",2,2,2,2,0,1
"09011",6,6,6,6,0,1
"09055",3,3,3,3,0,1
"09096",0,0,0,0,1,1
